Name,Year,Duration
The Shawshank Redemption,1994,2h 22m
The Godfather,1972,2h 55m
The Dark Knight,2008,2h 32m
The Godfather Part II,1974,3h 22m
12 Angry Men,1957,1h 36m
The Lord of the Rings: The Return of the King,2003,3h 21m
Schindler's List,1993,3h 15m
Pulp Fiction,1994,2h 34m
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m
"Il buono, il brutto, il cattivo",1966,2h 41m
Forrest Gump,1994,2h 22m
The Lord of the Rings: The Two Towers,2002,2h 59m
Fight Club,1999,2h 19m
Inception,2010,2h 28m
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m
The Matrix,1999,2h 16m
Goodfellas,1990,2h 25m
One Flew Over the Cuckoo's Nest,1975,2h 13m
Interstellar,2014,2h 49m
Se7en,1995,2h 7m
It's a Wonderful Life,1946,2h 10m
Shichinin no samurai,1954,3h 27m
The Silence of the Lambs,1991,1h 58m
Saving Private Ryan,1998,2h 49m
Cidade de Deus,2002,2h 10m
The Shawshank Redemption,1994,2h 22m
The Godfather,1972,2h 55m
The Dark Knight,2008,2h 32m
The Godfather Part II,1974,3h 22m
12 Angry Men,1957,1h 36m
The Lord of the Rings: The Return of the King,2003,3h 21m
Schindler's List,1993,3h 15m
Pulp Fiction,1994,2h 34m
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m
"Il buono, il brutto, il cattivo",1966,2h 41m
Forrest Gump,1994,2h 22m
The Lord of the Rings: The Two Towers,2002,2h 59m
Fight Club,1999,2h 19m
Inception,2010,2h 28m
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m
The Matrix,1999,2h 16m
Goodfellas,1990,2h 25m
One Flew Over the Cuckoo's Nest,1975,2h 13m
Interstellar,2014,2h 49m
Se7en,1995,2h 7m
It's a Wonderful Life,1946,2h 10m
Shichinin no samurai,1954,3h 27m
The Silence of the Lambs,1991,1h 58m
Saving Private Ryan,1998,2h 49m
Cidade de Deus,2002,2h 10m
